,Seq_2,Seq_1,Seq_0,count,prob
680,0,3,9,7,0.003032
681,0,4,9,26,0.011260
682,0,5,9,29,0.012560
683,0,6,9,41,0.017757
684,0,7,9,39,0.016890
685,0,8,9,37,0.016024
686,0,9,9,17,0.007362
687,0,10,9,7,0.003032
688,0,11,9,5,0.002165
689,0,2,10,2,0.000866
690,0,3,10,3,0.001299
691,0,4,10,8,0.003465
692,0,5,10,13,0.005630
693,0,6,10,19,0.008229
694,0,7,10,18,0.007796
695,0,8,10,12,0.005197
696,0,9,10,9,0.003898
697,0,10,10,5,0.002165
698,0,2,11,2,0.000866
699,0,4,11,4,0.001732
700,0,5,11,5,0.002165
701,0,6,11,8,0.003465
702,0,7,11,8,0.003465
703,0,8,11,7,0.003032
704,0,9,11,1,0.000433
705,0,10,11,1,0.000433
706,0,6,12,3,0.001299
707,0,7,12,1,0.000433
708,0,8,12,1,0.000433
